"Id","CurrentStock","MinimumStock","MaximumStock","AverageCost","ProductId","StoreId","CreatedAt","UpdatedAt","IsDeleted"
47,-28,0,0,"0.0000",409,1,"2025-08-13 00:56:47.111829-05","2025-08-13 00:56:55.5628-05",False
15,-2,0,0,"0.0000",414,1,"2025-08-13 00:56:45.944549-05","2025-08-13 00:56:47.29677-05",False
2,-22,0,0,"0.0000",97,1,"2025-08-13 00:56:45.703099-05","2025-08-13 00:56:57.068178-05",False
1,-7,0,0,"0.0000",367,1,"2025-08-13 00:56:45.601747-05","2025-08-13 00:56:50.110148-05",False
65,-5,0,0,"0.0000",96,1,"2025-08-13 00:56:48.320071-05","2025-08-13 00:56:57.364513-05",False
32,-2,0,0,"0.0000",210,1,"2025-08-13 00:56:46.499137-05","2025-08-13 00:56:55.747352-05",False
28,-11,0,0,"0.0000",23,1,"2025-08-13 00:56:46.270046-05","2025-08-13 00:56:52.342586-05",False
38,-1,0,0,"0.0000",400,1,"2025-08-13 00:56:46.695597-05","2025-08-13 00:56:46.699024-05",False
51,-9,0,0,"0.0000",144,1,"2025-08-13 00:56:47.25726-05","2025-08-13 00:56:56.935195-05",False
7,-9,0,0,"0.0000",417,1,"2025-08-13 00:56:45.757784-05","2025-08-13 00:56:54.157715-05",False
10,-39,0,0,"0.0000",201,1,"2025-08-13 00:56:45.872302-05","2025-08-13 00:56:56.387505-05",False
20,-1,0,0,"0.0000",129,1,"2025-08-13 00:56:46.08908-05","2025-08-13 00:56:46.091483-05",False
29,-8,0,0,"0.0000",86,1,"2025-08-13 00:56:46.324849-05","2025-08-13 00:56:54.654467-05",False
39,-1,0,0,"0.0000",399,1,"2025-08-13 00:56:46.711987-05","2025-08-13 00:56:46.716291-05",False
72,-5,0,0,"0.0000",76,1,"2025-08-13 00:56:49.316637-05","2025-08-13 00:56:54.811706-05",False
53,-1,0,0,"0.0000",402,1,"2025-08-13 00:56:47.391499-05","2025-08-13 00:56:47.395828-05",False
40,-1,0,0,"0.0000",152,1,"2025-08-13 00:56:46.730276-05","2025-08-13 00:56:46.733711-05",False
24,-6,0,0,"0.0000",164,1,"2025-08-13 00:56:46.174033-05","2025-08-13 00:56:57.443679-05",False
4,-24,0,0,"0.0000",170,1,"2025-08-13 00:56:45.725562-05","2025-08-13 00:56:56.652054-05",False
14,-23,0,0,"0.0000",281,1,"2025-08-13 00:56:45.932404-05","2025-08-13 00:56:48.79914-05",False
55,-1,0,0,"0.0000",432,1,"2025-08-13 00:56:47.48298-05","2025-08-13 00:56:47.489165-05",False
56,-1,0,0,"0.0000",295,1,"2025-08-13 00:56:47.507305-05","2025-08-13 00:56:47.511928-05",False
66,-3,0,0,"0.0000",282,1,"2025-08-13 00:56:48.363507-05","2025-08-13 00:56:55.38121-05",False
57,-8,0,0,"0.0000",171,1,"2025-08-13 00:56:47.550417-05","2025-08-13 00:56:55.080376-05",False
42,-41,0,0,"0.0000",95,1,"2025-08-13 00:56:46.783183-05","2025-08-13 00:56:56.541529-05",False
34,-2,0,0,"0.0000",279,1,"2025-08-13 00:56:46.541147-05","2025-08-13 00:56:46.544601-05",False
77,-1,0,0,"0.0000",103,1,"2025-08-13 00:56:49.628192-05","2025-08-13 00:56:49.634029-05",False
82,-3,0,0,"0.0000",245,1,"2025-08-13 00:56:50.23754-05","2025-08-13 00:56:55.532232-05",False
50,-2,0,0,"0.0000",107,1,"2025-08-13 00:56:47.189079-05","2025-08-13 00:56:47.993996-05",False
52,-2,0,0,"0.0000",204,1,"2025-08-13 00:56:47.364995-05","2025-08-13 00:56:57.329364-05",False
68,-1,0,0,"0.0000",403,1,"2025-08-13 00:56:48.898219-05","2025-08-13 00:56:48.903643-05",False
37,-2,0,0,"0.0000",55,1,"2025-08-13 00:56:46.609448-05","2025-08-13 00:56:47.586362-05",False
27,-74,0,0,"0.0000",59,1,"2025-08-13 00:56:46.23562-05","2025-08-13 00:56:56.732002-05",False
44,-20,0,0,"0.0000",285,1,"2025-08-13 00:56:46.903284-05","2025-08-13 00:56:57.210994-05",False
21,-2,0,0,"0.0000",344,1,"2025-08-13 00:56:46.105101-05","2025-08-13 00:56:53.329656-05",False
59,-2,0,0,"0.0000",220,1,"2025-08-13 00:56:47.680318-05","2025-08-13 00:56:49.149065-05",False
3,-3,0,0,"0.0000",145,1,"2025-08-13 00:56:45.713853-05","2025-08-13 00:56:57.034789-05",False
46,-1,0,0,"0.0000",84,1,"2025-08-13 00:56:47.03206-05","2025-08-13 00:56:47.036023-05",False
78,-2,0,0,"0.0000",35,1,"2025-08-13 00:56:49.663151-05","2025-08-13 00:56:54.324341-05",False
70,-3,0,0,"0.0000",167,1,"2025-08-13 00:56:49.037148-05","2025-08-13 00:56:53.850863-05",False
62,-70,0,0,"0.0000",284,1,"2025-08-13 00:56:48.068275-05","2025-08-13 00:56:57.173218-05",False
43,-13,0,0,"0.0000",141,1,"2025-08-13 00:56:46.868637-05","2025-08-13 00:56:56.071684-05",False
49,-1,0,0,"0.0000",329,1,"2025-08-13 00:56:47.162961-05","2025-08-13 00:56:47.167977-05",False
81,-1,0,0,"0.0000",159,1,"2025-08-13 00:56:50.008487-05","2025-08-13 00:56:50.015547-05",False
30,-9,0,0,"0.0000",65,1,"2025-08-13 00:56:46.382252-05","2025-08-13 00:56:56.418921-05",False
71,-2,0,0,"0.0000",346,1,"2025-08-13 00:56:49.209072-05","2025-08-13 00:56:49.804133-05",False
58,-1,0,0,"0.0000",70,1,"2025-08-13 00:56:47.609234-05","2025-08-13 00:56:47.613943-05",False
48,-2,0,0,"0.0000",197,1,"2025-08-13 00:56:47.133012-05","2025-08-13 00:56:47.635955-05",False
54,-30,0,0,"0.0000",61,1,"2025-08-13 00:56:47.436581-05","2025-08-13 00:56:55.885021-05",False
23,-24,0,0,"0.0000",64,1,"2025-08-13 00:56:46.131778-05","2025-08-13 00:56:50.943674-05",False
45,-8,0,0,"0.0000",351,1,"2025-08-13 00:56:46.964434-05","2025-08-13 00:56:55.175498-05",False
83,-1,0,0,"0.0000",207,1,"2025-08-13 00:56:50.39909-05","2025-08-13 00:56:50.405864-05",False
35,-7,0,0,"0.0000",407,1,"2025-08-13 00:56:46.563061-05","2025-08-13 00:56:55.999384-05",False
16,-37,0,0,"0.0000",428,1,"2025-08-13 00:56:45.978014-05","2025-08-13 00:56:50.502099-05",False
80,-1,0,0,"0.0000",336,1,"2025-08-13 00:56:49.971499-05","2025-08-13 00:56:49.978167-05",False
60,-45,0,0,"0.0000",112,1,"2025-08-13 00:56:47.73978-05","2025-08-13 00:56:55.041187-05",False
69,-5,0,0,"0.0000",82,1,"2025-08-13 00:56:49.013127-05","2025-08-13 00:56:49.019109-05",False
64,-1,0,0,"0.0000",132,1,"2025-08-13 00:56:48.24123-05","2025-08-13 00:56:48.246274-05",False
17,-8,0,0,"0.0000",410,1,"2025-08-13 00:56:46.019981-05","2025-08-13 00:56:55.854301-05",False
19,-6,0,0,"0.0000",315,1,"2025-08-13 00:56:46.049993-05","2025-08-13 00:56:55.277888-05",False
74,-3,0,0,"0.0000",416,1,"2025-08-13 00:56:49.396845-05","2025-08-13 00:56:54.623948-05",False
75,-3,0,0,"0.0000",109,1,"2025-08-13 00:56:49.573461-05","2025-08-13 00:56:49.580627-05",False
25,-23,0,0,"0.0000",413,1,"2025-08-13 00:56:46.201183-05","2025-08-13 00:56:56.683245-05",False
33,-7,0,0,"0.0000",202,1,"2025-08-13 00:56:46.524171-05","2025-08-13 00:56:57.297041-05",False
73,-1,0,0,"0.0000",372,1,"2025-08-13 00:56:49.362297-05","2025-08-13 00:56:49.368969-05",False
76,-1,0,0,"0.0000",100,1,"2025-08-13 00:56:49.600711-05","2025-08-13 00:56:49.60661-05",False
79,-10,0,0,"0.0000",175,1,"2025-08-13 00:56:49.698369-05","2025-08-13 00:56:49.712588-05",False
63,0,0,0,"0.0000",293,1,"2025-08-13 00:56:48.092808-05","2025-08-13 00:56:53.273704-05",False
8,-6,0,0,"0.0000",348,1,"2025-08-13 00:56:45.848451-05","2025-08-13 00:56:49.782789-05",False
13,-2,0,0,"0.0000",168,1,"2025-08-13 00:56:45.920424-05","2025-08-13 00:56:49.846526-05",False
41,-7,0,0,"0.0000",89,1,"2025-08-13 00:56:46.764004-05","2025-08-13 00:56:56.355032-05",False
26,-10,0,0,"0.0000",406,1,"2025-08-13 00:56:46.220276-05","2025-08-13 00:56:51.776836-05",False
9,-32,0,0,"0.0000",49,1,"2025-08-13 00:56:45.860555-05","2025-08-13 00:56:57.101237-05",False
90,-2,0,0,"0.0000",66,1,"2025-08-13 00:56:51.187139-05","2025-08-13 00:56:54.752513-05",False
11,-19,0,0,"0.0000",47,1,"2025-08-13 00:56:45.889709-05","2025-08-13 00:56:56.227702-05",False
84,-1,0,0,"0.0000",312,1,"2025-08-13 00:56:50.726542-05","2025-08-13 00:56:50.732922-05",False
22,-8,0,0,"0.0000",227,1,"2025-08-13 00:56:46.118128-05","2025-08-13 00:56:56.181745-05",False
85,-2,0,0,"0.0000",221,1,"2025-08-13 00:56:50.789966-05","2025-08-13 00:56:50.796542-05",False
12,-8,0,0,"0.0000",56,1,"2025-08-13 00:56:45.904012-05","2025-08-13 00:56:54.267008-05",False
86,-1,0,0,"0.0000",75,1,"2025-08-13 00:56:50.867307-05","2025-08-13 00:56:50.873763-05",False
5,-2,0,0,"0.0000",57,1,"2025-08-13 00:56:45.735453-05","2025-08-13 00:56:51.382914-05",False
87,-2,0,0,"0.0000",297,1,"2025-08-13 00:56:50.966807-05","2025-08-13 00:56:50.974617-05",False
88,-1,0,0,"0.0000",180,1,"2025-08-13 00:56:50.998438-05","2025-08-13 00:56:51.005381-05",False
61,-6,0,0,"0.0000",50,1,"2025-08-13 00:56:47.947129-05","2025-08-13 00:56:51.029342-05",False
89,-1,0,0,"0.0000",156,1,"2025-08-13 00:56:51.076546-05","2025-08-13 00:56:51.083381-05",False
91,-2,0,0,"0.0000",114,1,"2025-08-13 00:56:51.409213-05","2025-08-13 00:56:56.777002-05",False
31,-73,0,0,"0.0000",63,1,"2025-08-13 00:56:46.411104-05","2025-08-13 00:56:57.001807-05",False
18,-3,0,0,"0.0000",412,1,"2025-08-13 00:56:46.032161-05","2025-08-13 00:56:52.510071-05",False
6,-24,0,0,"0.0000",108,1,"2025-08-13 00:56:45.745894-05","2025-08-13 00:56:56.888157-05",False
67,-11,0,0,"0.0000",116,1,"2025-08-13 00:56:48.774231-05","2025-08-13 00:56:51.456195-05",False
36,-10,0,0,"0.0000",54,1,"2025-08-13 00:56:46.592947-05","2025-08-13 00:56:55.915315-05",False
92,-15,0,0,"0.0000",118,1,"2025-08-13 00:56:51.497727-05","2025-08-13 00:56:51.506822-05",False
93,-5,0,0,"0.0000",119,1,"2025-08-13 00:56:51.541319-05","2025-08-13 00:56:51.548986-05",False
94,-1,0,0,"0.0000",205,1,"2025-08-13 00:56:51.826531-05","2025-08-13 00:56:51.833567-05",False
95,-1,0,0,"0.0000",27,1,"2025-08-13 00:56:52.012311-05","2025-08-13 00:56:52.020153-05",False
97,-1,0,0,"0.0000",172,1,"2025-08-13 00:56:52.793952-05","2025-08-13 00:56:52.801746-05",False
98,-1,0,0,"0.0000",327,1,"2025-08-13 00:56:53.060744-05","2025-08-13 00:56:53.068853-05",False
100,-1,0,0,"0.0000",435,1,"2025-08-13 00:56:53.218286-05","2025-08-13 00:56:53.227369-05",False
103,-2,0,0,"0.0000",165,1,"2025-08-13 00:56:53.879416-05","2025-08-13 00:56:53.889198-05",False
105,-5,0,0,"0.0000",25,1,"2025-08-13 00:56:54.353183-05","2025-08-13 00:56:54.362027-05",False
106,-2,0,0,"0.0000",174,1,"2025-08-13 00:56:54.439833-05","2025-08-13 00:56:54.448088-05",False
104,-8,0,0,"0.0000",286,1,"2025-08-13 00:56:53.945924-05","2025-08-13 00:56:54.477671-05",False
108,-1,0,0,"0.0000",184,1,"2025-08-13 00:56:55.123536-05","2025-08-13 00:56:55.132322-05",False
101,-3,0,0,"0.0000",368,1,"2025-08-13 00:56:53.701967-05","2025-08-13 00:56:55.30886-05",False
109,-2,0,0,"0.0000",262,1,"2025-08-13 00:56:55.45403-05","2025-08-13 00:56:55.463658-05",False
107,-9,0,0,"0.0000",261,1,"2025-08-13 00:56:54.901379-05","2025-08-13 00:56:55.495185-05",False
110,-1,0,0,"0.0000",78,1,"2025-08-13 00:56:55.593948-05","2025-08-13 00:56:55.603012-05",False
111,-2,0,0,"0.0000",44,1,"2025-08-13 00:56:55.675046-05","2025-08-13 00:56:55.684762-05",False
112,-1,0,0,"0.0000",39,1,"2025-08-13 00:56:56.138314-05","2025-08-13 00:56:56.148118-05",False
113,-10,0,0,"0.0000",111,1,"2025-08-13 00:56:56.293428-05","2025-08-13 00:56:56.302853-05",False
102,-5,0,0,"0.0000",71,1,"2025-08-13 00:56:53.738001-05","2025-08-13 00:56:56.586873-05",False
114,-1,0,0,"0.0000",67,1,"2025-08-13 00:56:56.827884-05","2025-08-13 00:56:56.838018-05",False
99,-6,0,0,"0.0000",142,1,"2025-08-13 00:56:53.164146-05","2025-08-13 00:56:57.137141-05",False
96,-6,0,0,"0.0000",322,1,"2025-08-13 00:56:52.378305-05","2025-08-13 00:56:57.259343-05",False
115,-1,0,0,"0.0000",136,1,"2025-08-13 00:56:57.399234-05","2025-08-13 00:56:57.408625-05",False
